id,timestamp,version,changeset,user,uid,tags,object_type,member_osmid,member_role,osmid,name,type,route,power,voltage,substation,line,circuits,cables,wires,operator,operator:wikidata,location,note,wikidata
4847651,2015-04-29T19:13:17Z,9,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341333940,line,relation/4847651,,route,power,,66000,,,,3,single,,,,,
4847651,2015-04-29T19:13:17Z,9,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/285259952,sub_station,relation/4847651,,route,power,,66000,,,,3,single,,,,,
4847651,2015-04-29T19:13:17Z,9,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/340854653,line,relation/4847651,,route,power,,66000,,,,3,single,,,,,
4847651,2015-04-29T19:13:17Z,9,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341409968,line,relation/4847651,,route,power,,66000,,,,3,single,,,,,
4847651,2015-04-29T19:13:17Z,9,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/275968711,sub_station,relation/4847651,,route,power,,66000,,,,3,single,,,,,
4847651,2015-04-29T19:13:17Z,9,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341464449,line,relation/4847651,,route,power,,66000,,,,3,single,,,,,
4847651,2015-04-29T19:13:17Z,9,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341470429,line,relation/4847651,,route,power,,66000,,,,3,single,,,,,
4847651,2015-04-29T19:13:17Z,9,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/309115152,line,relation/4847651,,route,power,,66000,,,,3,single,,,,,
4847980,2015-04-29T19:13:17Z,4,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/275968711,sub_station,relation/4847980,,route,power,,66000,,,,3,single,,,,,
4847980,2015-04-29T19:13:17Z,4,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/309114152,line,relation/4847980,,route,power,,66000,,,,3,single,,,,,
4847980,2015-04-29T19:13:17Z,4,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341464450,line,relation/4847980,,route,power,,66000,,,,3,single,,,,,
4847980,2015-04-29T19:13:17Z,4,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341409968,line,relation/4847980,,route,power,,66000,,,,3,single,,,,,
4847980,2015-04-29T19:13:17Z,4,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341587809,line,relation/4847980,,route,power,,66000,,,,3,single,,,,,
4848091,2015-04-29T14:39:56Z,4,30623213,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341470431,line,relation/4848091,,route,power,,132000,,,,3,single,,,,,
4848091,2015-04-29T14:39:56Z,4,30623213,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341470432,line,relation/4848091,,route,power,,132000,,,,3,single,,,,,
4848091,2015-04-29T14:39:56Z,4,30623213,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/309114159,line,relation/4848091,,route,power,,132000,,,,3,single,,,,,
4848091,2015-04-29T14:39:56Z,4,30623213,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341470675,line,relation/4848091,,route,power,,132000,,,,3,single,,,,,
4848091,2015-04-29T14:39:56Z,4,30623213,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/285259952,sub_station,relation/4848091,,route,power,,132000,,,,3,single,,,,,
4848091,2015-04-29T14:39:56Z,4,30623213,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341325234,,relation/4848091,,route,power,,132000,,,,3,single,,,,,
4848092,2020-07-14T09:25:38Z,4,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341333943,line,relation/4848092,,route,power,,132000,,,,3,single,,,,,
4848092,2020-07-14T09:25:38Z,4,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341470432,line,relation/4848092,,route,power,,132000,,,,3,single,,,,,
4848092,2020-07-14T09:25:38Z,4,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/285259952,substation,relation/4848092,,route,power,,132000,,,,3,single,,,,,
4848092,2020-07-14T09:25:38Z,4,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/309114159,line,relation/4848092,,route,power,,132000,,,,3,single,,,,,
4848092,2020-07-14T09:25:38Z,4,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341470675,line,relation/4848092,,route,power,,132000,,,,3,single,,,,,
4848092,2020-07-14T09:25:38Z,4,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341470428,line,relation/4848092,,route,power,,132000,,,,3,single,,,,,
4848212,2020-07-14T09:25:38Z,4,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/756860368,line,relation/4848212,,route,power,,66000,,,,3,single,,,,,
4848212,2020-07-14T09:25:38Z,4,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/285259952,substation,relation/4848212,,route,power,,66000,,,,3,single,,,,,
4848212,2020-07-14T09:25:38Z,4,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341333945,line,relation/4848212,,route,power,,66000,,,,3,single,,,,,
4848212,2020-07-14T09:25:38Z,4,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341495425,line,relation/4848212,,route,power,,66000,,,,3,single,,,,,
4848212,2020-07-14T09:25:38Z,4,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/309114138,substation,relation/4848212,,route,power,,66000,,,,3,single,,,,,
4848213,2022-04-11T14:53:33Z,4,119583110,Dhital Bhimsen,10203028,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'to': 'Siuchatar', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/285259952,substation,relation/4848213,,route,power,,132000,,,,3,single,,,,,
4848213,2022-04-11T14:53:33Z,4,119583110,Dhital Bhimsen,10203028,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'to': 'Siuchatar', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/290486331,substation,relation/4848213,,route,power,,132000,,,,3,single,,,,,
4848214,2020-07-14T09:25:38Z,3,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341495416,line,relation/4848214,,route,power,,66000,,,,3,single,,,,,
4848214,2020-07-14T09:25:38Z,3,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/756860368,line,relation/4848214,,route,power,,66000,,,,3,single,,,,,
4848214,2020-07-14T09:25:38Z,3,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341333941,line,relation/4848214,,route,power,,66000,,,,3,single,,,,,
4848214,2020-07-14T09:25:38Z,3,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/285259952,substation,relation/4848214,,route,power,,66000,,,,3,single,,,,,
4848214,2020-07-14T09:25:38Z,3,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/309114138,substation,relation/4848214,,route,power,,66000,,,,3,single,,,,,
4848272,2015-05-19T18:53:49Z,3,31292467,LLAQWA,77114,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341395414,line,relation/4848272,,route,power,,132000,,,,3,single,,,,,
4848272,2015-05-19T18:53:49Z,3,31292467,LLAQWA,77114,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/290486331,sub_station,relation/4848272,,route,power,,132000,,,,3,single,,,,,
4848272,2015-05-19T18:53:49Z,3,31292467,LLAQWA,77114,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/340753709,sub_station,relation/4848272,,route,power,,132000,,,,3,single,,,,,
4848273,2015-05-02T14:13:04Z,4,30721700,bahnpirat,13203,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'to': 'Bharatpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/290486331,sub_station,relation/4848273,,route,power,,132000,,,,3,single,,,,,
4848273,2015-05-02T14:13:04Z,4,30721700,bahnpirat,13203,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'to': 'Bharatpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342306174,line,relation/4848273,,route,power,,132000,,,,3,single,,,,,
